step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
266,107016,1064,0.03398247307643442,0.0,0.0,,,,,
267,107308,1068,0.04102802276039483,0.0,0.0,,,,,
268,107760,1072,0.026804959854395877,0.5,0.5,,,,,
269,108148,1076,0.031060955004944973,0.25,0.25,,,,,
270,108536,1080,0.036128415868100776,0.25,0.25,,,,,
271,108956,1084,0.03566502632656536,0.0,0.0,,,,,
272,109344,1088,0.029724782195621635,0.25,0.25,,,,,
273,109700,1092,0.03132795698709453,0.75,0.75,0.029878887354432004,0.25,0.25,,
274,110120,1096,0.024550526148057958,0.5,0.5,,,,,
275,110476,1100,0.031063348825028612,0.25,0.25,,,,,
276,110800,1104,0.029917593516307305,0.25,0.25,,,,,
277,111188,1108,0.027700584062780153,0.5,0.5,,,,,
278,111608,1112,0.027951272919105503,0.25,0.25,,,,,
279,111836,1116,0.03952561780078797,0.75,0.75,,,,,
280,112192,1120,0.03283727624611063,0.25,0.25,,,,,
281,112612,1124,0.03092366782248305,0.5,0.5,0.031123961529807134,0.25,0.25,,
282,113032,1128,0.029299981003598183,0.5,0.5,,,,,
283,113388,1132,0.024987578858070434,0.5,0.5,,,,,
284,113872,1136,0.022310834752790016,0.25,0.25,,,,,
285,114292,1140,0.029523741774910732,0.5,0.5,,,,,
286,114712,1144,0.02854920051975079,0.25,0.25,,,,,
287,115164,1148,0.0373924545025102,0.0,0.0,,,,,
288,115616,1152,0.029660329282625887,0.25,0.25,,,,,
289,115972,1156,0.035595773347495197,0.25,0.25,0.03233137775279715,0.25,0.25,,
290,116392,1160,0.029109492244749183,0.5,0.5,,,,,
291,116652,1164,0.043544029259571744,0.5,0.5,,,,,
292,117104,1168,0.029766552835923794,0.75,0.75,,,,,
293,117556,1172,0.02626472573262281,0.0,0.0,,,,,
294,117944,1176,0.029071891080585794,0.75,0.75,,,,,
295,118364,1180,0.028795545286458526,0.25,0.25,,,,,
296,118752,1184,0.03036706971184534,0.25,0.25,,,,,
297,119076,1188,0.03542169846567049,0.5,0.5,0.030438901098305,0.0,0.0,,
298,119528,1192,0.02887602755000704,0.25,0.25,,,,,
299,119884,1196,0.02583227019897674,0.75,0.75,,,,,
300,120240,1200,0.033221593855051156,0.5,0.5,,,,,
301,120596,1204,0.030879757911824193,0.25,0.25,,,,,
302,121048,1208,0.02387702068195154,0.75,0.75,,,,,
